label,t,epsilon
isotropic/lognorm,-1,inf
isotropic/lognorm,0,93.86109753073708
isotropic/lognorm,1,50.92246644211616
isotropic/lognorm,2,35.22998203755453
isotropic/lognorm,3,27.879340460118875
isotropic/lognorm,4,23.00503910259132
isotropic/lognorm,5,18.701250338521643
isotropic/lognorm,6,14.98539939403278
isotropic/lognorm,7,12.887665995325563
isotropic/lognorm,8,11.705205639587252
isotropic/lognorm,9,10.782811373160328
isotropic/lognorm,10,10.110839907390055
isotropic/lognorm,11,9.255955669810053
isotropic/lognorm,12,8.640676040967476
isotropic/lognorm,13,8.12566596178903
isotropic/lognorm,14,7.792001664276173
isotropic/gamma,-1,inf
isotropic/gamma,0,68.91966681231166
isotropic/gamma,1,48.207863875401216
isotropic/gamma,2,39.590361488433736
isotropic/gamma,3,35.03116556368372
isotropic/gamma,4,27.840200820911175
isotropic/gamma,5,23.384596543708174
isotropic/gamma,6,20.16929747389749
isotropic/gamma,7,17.801270749143864
isotropic/gamma,8,14.93133033348287
isotropic/gamma,9,13.9528071677325
isotropic/gamma,10,12.997129149679948
isotropic/gamma,11,11.34156105640935
isotropic/gamma,12,10.498538716607479
isotropic/gamma,13,10.346529844699187
isotropic/gamma,14,9.916595408482584
persistent/lognorm,-1,inf
persistent/lognorm,0,92.06451557587782
persistent/lognorm,1,49.7495225844881
persistent/lognorm,2,35.61699359398126
persistent/lognorm,3,26.40250825855099
persistent/lognorm,4,22.411642806200547
persistent/lognorm,5,18.69860880012567
persistent/lognorm,6,16.03298257163381
persistent/lognorm,7,14.115025955253257
persistent/lognorm,8,12.797440144231638
persistent/lognorm,9,11.599243052979675
persistent/lognorm,10,10.624364512617047
persistent/lognorm,11,10.080384751166937
persistent/lognorm,12,9.679334307984988
persistent/lognorm,13,9.237710497537927
persistent/lognorm,14,8.704644693175766
persistent/gamma,-1,inf
persistent/gamma,0,68.19653638876444
persistent/gamma,1,37.41168359447577
persistent/gamma,2,24.378197068072748
persistent/gamma,3,18.472178284227112
persistent/gamma,4,16.11253256797419
persistent/gamma,5,14.251042676314814
persistent/gamma,6,12.751078535644536
persistent/gamma,7,11.805426945263422
persistent/gamma,8,11.03082851098837
persistent/gamma,9,10.058119215484645
persistent/gamma,10,9.376258128986299
persistent/gamma,11,8.724391670648723
persistent/gamma,12,8.281662145248749
persistent/gamma,13,7.945181186187433
persistent/gamma,14,7.564926782711017
persistent/gamma,-1,inf
persistent/gamma,0,67.73445416554411
persistent/gamma,1,36.21693116127547
persistent/gamma,2,24.13405533910709
persistent/gamma,3,18.979980666272628
persistent/gamma,4,16.345094091799478
persistent/gamma,5,14.093327013588734
persistent/gamma,6,12.33638323306174
persistent/gamma,7,11.390795359290026
persistent/gamma,8,10.543665435404352
persistent/gamma,9,9.909355323885912
persistent/gamma,10,9.194101590110893
persistent/gamma,11,8.754386360174774
persistent/gamma,12,8.477021319169998
persistent/gamma,13,8.036125488011232
persistent/lognorm,-1,inf
persistent/lognorm,0,115.01525128640444
persistent/lognorm,1,52.490039171527734
persistent/lognorm,2,37.461013657461756
persistent/lognorm,3,28.02277657177911
persistent/lognorm,4,22.028923843008094
persistent/lognorm,5,18.64809048032454
persistent/lognorm,6,16.252211684019816
persistent/lognorm,7,14.460165007164663
persistent/lognorm,8,13.157356485868569
persistent/lognorm,9,12.19187910638442
persistent/lognorm,10,11.391779217764647
persistent/lognorm,11,10.70927289218682
persistent/lognorm,12,10.205326486913561
persistent/lognorm,13,9.607005054851053
persistent/lognorm,14,9.09032148897734
