motion,speed,label,parameter,median,q05,q95
isotropic,lognorm,isotropic/lognorm,adhesion,0.7999529240291068,0.4890123716152376,0.9744515983255138
isotropic,gamma,isotropic/gamma,adhesion,0.7224566553143419,0.47741108523606385,0.9250752061191873
isotropic,lognorm,isotropic/lognorm,fragment_rate,0.004522355295246736,0.001097792841748015,0.00869018002235677
isotropic,gamma,isotropic/gamma,fragment_rate,0.0045884149860576425,0.003933117364873909,0.005130254693710882
isotropic,lognorm,isotropic/lognorm,heading_sigma,0.3923905652005052,0.07464136066040582,0.7289041022500958
isotropic,gamma,isotropic/gamma,heading_sigma,0.5282661787683125,0.3871086921446313,0.6989811470488568
isotropic,lognorm,isotropic/lognorm,init_n_clusters,1041.480914665171,702.0622792064461,1402.864574755275
isotropic,gamma,isotropic/gamma,init_n_clusters,322.72962312824166,314.4675439951849,329.5612108987604
isotropic,lognorm,isotropic/lognorm,merge_prob,0.8137148587752505,0.46115459642313855,0.9814904559461196
isotropic,gamma,isotropic/gamma,merge_prob,0.8169033864170504,0.715606812126109,0.9394108072456457
isotropic,lognorm,isotropic/lognorm,prolif_rate,0.005402497752944339,0.0031784865172152055,0.008404581485959227
isotropic,gamma,isotropic/gamma,prolif_rate,0.014367632015118271,0.013979044580706246,0.014837587346360771
isotropic,lognorm,isotropic/lognorm,speed_meanlog,1.2467399270371546,0.6083810027329828,1.5023842680483028
isotropic,gamma,isotropic/gamma,speed_meanlog,0.8003448314443797,0.4349328873015226,1.2422716858406937
isotropic,lognorm,isotropic/lognorm,speed_sdlog,0.49060368227202644,0.17802785213789196,0.9965696931240028
isotropic,gamma,isotropic/gamma,speed_sdlog,0.4724151883533375,0.448092246334784,0.4925268722545314
persistent,lognorm,persistent/lognorm,adhesion,0.7892634175407774,0.46371905182606354,0.9777324842849936
persistent,lognorm,persistent/lognorm,adhesion,0.75141135313818,0.4435230445879311,0.9722388299766184
persistent,gamma,persistent/gamma,adhesion,0.7992481777508518,0.5205173256092276,0.974975876167766
persistent,gamma,persistent/gamma,adhesion,0.7670039086068234,0.5007599212719582,0.974624967638262
persistent,lognorm,persistent/lognorm,fragment_rate,0.0035155899125450404,0.0005688927527387797,0.007233186675839266
persistent,lognorm,persistent/lognorm,fragment_rate,0.0033444702330169603,0.0005070354732827239,0.008014705577960997
persistent,gamma,persistent/gamma,fragment_rate,0.00392663956685437,0.0006642545336660923,0.008388693670740945
persistent,gamma,persistent/gamma,fragment_rate,0.004064744246700831,0.0004384789453955567,0.00815749054299449
persistent,lognorm,persistent/lognorm,heading_sigma,0.6950693831927997,0.5344158123850506,0.787446912630727
persistent,lognorm,persistent/lognorm,heading_sigma,0.6775198514392408,0.49871774097578975,0.7875380545237154
persistent,gamma,persistent/gamma,heading_sigma,0.753580552992289,0.6886135802500826,0.7957704503214652
persistent,gamma,persistent/gamma,heading_sigma,0.7449601474502308,0.6702839736140588,0.7913628962265006
persistent,lognorm,persistent/lognorm,init_n_clusters,1112.8488946720865,699.9164865984965,1420.4393749303533
persistent,lognorm,persistent/lognorm,init_n_clusters,1073.2764628013656,745.0757193014706,1431.6684739518419
persistent,gamma,persistent/gamma,init_n_clusters,1125.37059968827,814.1957794941505,1418.4148980528557
persistent,gamma,persistent/gamma,init_n_clusters,1101.6131392877835,795.3707057915682,1386.274616027718
persistent,lognorm,persistent/lognorm,merge_prob,0.7579338220579064,0.46314913832730303,0.9742455852175688
persistent,lognorm,persistent/lognorm,merge_prob,0.7853148710392913,0.48462374870033187,0.9671875454459169
persistent,gamma,persistent/gamma,merge_prob,0.8374202242124187,0.560198736379499,0.9805627689334073
persistent,gamma,persistent/gamma,merge_prob,0.7488047833157473,0.4760424462532825,0.9697315087402141
persistent,lognorm,persistent/lognorm,prolif_rate,0.004832197229459743,0.0026665800510931735,0.008163048469023203
persistent,lognorm,persistent/lognorm,prolif_rate,0.005038670126303362,0.0026315528552043567,0.007968056246329793
persistent,gamma,persistent/gamma,prolif_rate,0.004688124789712066,0.0028688560769561107,0.00688562654026949
persistent,gamma,persistent/gamma,prolif_rate,0.00465613686124401,0.002815082508614427,0.007081561698451071
persistent,lognorm,persistent/lognorm,speed_meanlog,0.2795841529972239,-0.19080017445525146,0.6742807650657692
persistent,lognorm,persistent/lognorm,speed_meanlog,0.31219090434138885,-0.2904341028809887,0.7185749361038384
persistent,gamma,persistent/gamma,speed_meanlog,0.41140716703619873,-0.8170862022381921,1.6753647106250484
persistent,gamma,persistent/gamma,speed_meanlog,0.5962797270926273,-0.7664341638071304,1.793647151211538
persistent,lognorm,persistent/lognorm,speed_sdlog,0.8050632515132496,0.24919274030137575,1.2231444856380813
persistent,lognorm,persistent/lognorm,speed_sdlog,0.7434651443803368,0.2526557132845141,1.2676791004563777
persistent,gamma,persistent/gamma,speed_sdlog,0.7096798438703276,0.19277035860037464,1.3323952667357906
persistent,gamma,persistent/gamma,speed_sdlog,0.8163066447056431,0.21573097347113598,1.4075742434722063
