timestep,S0,S1,S2,SSNND_med
22,353.5,4.852899576,59.69306931,16.818398819429397
23,344.5,4.984034833,61.05370102,18.142444332373344
24,339.5,4.898379971,60.78645066,19.119824350871724
25,336.0,4.818452381,51.3452381,19.54114805216658
26,318.0,4.880503145,53.18553459,19.534986809902065
27,316.0,5.056962025,56.65506329,21.050239578147018
28,309.5,4.783521809,47.53311793,20.479711210625027
29,303.5,4.800658979,47.17957166,21.355588418072607
30,296.0,4.918918919,53.68918919,22.02069407566665
31,288.5,4.752166378,46.48526863,22.906553625734915
32,281.5,4.928952043,58.31438721,24.38851062017197
33,275.5,4.958257713,56.35208711,23.88596266837672
34,270.5,5.053604436,57.11645102,24.281054738526496
35,263.5,5.161290323,62.4743833,25.10409909736905
36,258.5,5.112185687,59.27852998,25.49269379599664
37,251.0,5.282868526,60.19123506,26.11567400895004
38,248.0,5.423387097,65.29435484,26.766796059775302
39,238.0,5.609243697,64.74369748,27.27181329444905
40,234.5,5.622601279,61.23454158,27.045740867322216
41,230.0,5.52173913,59.4173913,27.740969956650417
42,223.0,5.697309417,61.70179372,28.121483571256046
43,211.0,6.090047393,67.70616114,29.44093665050337
44,209.0,6.169856459,69.5430622,30.98656315701552
45,204.5,6.261613692,70.36919315,32.4562529636419
46,201.5,6.255583127,72.75186104,31.75935969893559
47,190.0,6.381578947,74.99736842,32.67769423247027
48,188.0,6.670212766,81.94148936,33.32485153546419
49,180.5,6.947368421,87.01385042,32.711304569990695
50,180.5,6.994459834,88.71745152,33.56414846649211
51,175.0,7.197142857,95.54571429,34.237563922838994
52,174.0,7.49137931,108.5028736,33.21157269344542
53,167.5,7.788059701,115.2447761,34.38526000367392
54,160.0,8.3125,130.28125,35.35274039662917
55,156.0,8.474358974,132.9551282,34.55401856262183
56,153.0,8.797385621,148.9738562,34.55514271938094
57,147.0,9.37414966,169.3809524,36.98729100837966
58,141.0,9.815602837,188.4113475,36.10372763968661
59,139.0,9.90647482,189.9496403,37.25856051406772
60,136.5,10.15750916,195.2197802,37.96723815158683
61,134.5,10.23420074,190.3085502,38.058984956163776
62,130.5,10.6091954,198.0268199,38.8918982753725
63,128.5,10.88326848,208.540856,39.382267072985485
64,127.5,11.09019608,234.1019608,40.03274342647831
65,118.0,12.29661017,284.1864407,39.167285072682674
66,115.5,12.97402597,317.5021645,40.62074084720983
67,115.5,12.995671,309.3160173,40.88498097683176
68,110.5,13.62443439,350.6199095,40.85598241251382
69,105.5,14.43127962,399.92891,43.31038008427417
70,103.5,15.01932367,477.0096618,43.552894899926
71,101.5,15.57142857,498.3793103,45.14480821165816
72,98.5,15.82233503,504.8883249,42.90301089570026
73,98.0,15.92857143,503.5714286,45.18315608964858
74,95.5,16.14659686,505.2460733,44.46644372147847
