timestep,median,q05,q95,observed
22,3.4278508771929825,3.226749226960336,3.6358282130056323,4.852899576
23,3.554613233923579,3.3507786885245903,3.7783238221632383,4.984034833
24,3.678877787254782,3.4759634011346336,3.9213920099875157,4.898379971
25,3.8112495057334916,3.5972366518192858,4.052446414543822,4.818452381
26,3.949183135704875,3.729791666666667,4.208693462735762,4.880503145
27,4.085056041630926,3.8464412787586943,4.3597388204293575,5.056962025
28,4.226048014095881,3.9782157506152585,4.520667213114754,4.783521809
29,4.369047619047619,4.114380248133189,4.668120106251845,4.800658979
30,4.514404267931239,4.250916988416988,4.832002801120447,4.918918919
31,4.666666666666667,4.3895459701401025,5.0,4.752166378
32,4.817796610169491,4.527694109772423,5.175741449414016,4.928952043
33,4.973856085057907,4.657136953955136,5.345148833467418,4.958257713
34,5.135371179039302,4.805860777001594,5.502328919550462,5.053604436
35,5.29439393939394,4.970515981180229,5.716382504690432,5.161290323
36,5.45945945945946,5.10254228041462,5.892260558069382,5.112185687
37,5.6314576764491875,5.259696568617767,6.099034530318703,5.282868526
38,5.809184268876182,5.428473132372215,6.276451702959241,5.423387097
39,5.9902199904351985,5.577820886564349,6.47460872816623,5.609243697
40,6.171568627450981,5.739484745039471,6.696358750139244,5.622601279
41,6.366991964654188,5.913461538461538,6.894892473118279,5.52173913
42,6.55948717948718,6.086005373936408,7.10309242944602,5.697309417
43,6.75,6.258573076645757,7.313436563436563,6.090047393
44,6.940127077223851,6.432732491389207,7.541459612951017,6.169856459
45,7.144385026737968,6.613024305199467,7.7647563025210085,6.261613692
46,7.346886016451234,6.7925088652482275,8.012462558836114,6.255583127
47,7.572222222222222,6.973321333115148,8.264028131078858,6.381578947
48,7.7999777735441675,7.151498902212464,8.503034067381893,6.670212766
49,8.011561079925153,7.367395710928319,8.754601226993865,6.947368421
50,8.228915662650602,7.539282627484875,8.962395566217221,6.994459834
51,8.460364379996282,7.755541405433647,9.239624670318523,7.197142857
52,8.68210570437831,7.983401870919136,9.512996480643539,7.49137931
53,8.933330884513666,8.186025623172261,9.774666666666665,7.788059701
54,9.168245967741935,8.440417698871455,10.059663057096833,8.3125
55,9.43421052631579,8.658441081398765,10.31541095890411,8.474358974
56,9.675241955496734,8.858765291502884,10.59175906502847,8.797385621
57,9.939594594594595,9.071273291925465,10.887638597542702,9.37414966
58,10.19931506849315,9.291794601351617,11.239763841101032,9.815602837
59,10.470995247414034,9.547740656171133,11.504065963773993,9.90647482
60,10.764097604523137,9.752685816293411,11.792962962962962,10.15750916
61,11.035088151285334,10.018918581418582,12.070213675213674,10.23420074
62,11.332134292565947,10.236184210526316,12.356589147286822,10.6091954
63,11.60431654676259,10.552333333333333,12.717679389312977,10.88326848
64,11.925649530127142,10.81597073039742,13.061068702290076,11.09019608
65,12.238111850579648,11.089989241001566,13.421317829457363,12.29661017
66,12.546153846153846,11.373958333333333,13.747967479674797,12.97402597
67,12.852792489167069,11.635714285714286,14.140613931523022,12.995671
68,13.184011776753712,11.943221592938416,14.434430894308942,13.62443439
69,13.507575757575758,12.248079856193485,14.80234126984127,14.43127962
70,13.841468253968255,12.529390451832906,15.23706896551724,15.01932367
71,14.182163934426228,12.837826340326341,15.586461769115441,15.57142857
72,14.524793388429753,13.126772388059702,15.976094550535628,15.82233503
73,14.909451219512196,13.457633587786258,16.34576601445157,15.92857143
74,15.267241379310345,13.78368888888889,16.729341546304163,16.14659686
