param,avg_distance,best_distance,S0_mean,S0_95_low,S0_95_high,NND_mean,NND_95_low,NND_95_high
500,2.754352456403028,2.2994678693176582,121.44,108.0,137.52499999999998,65.85292850947977,58.51483929626347,74.2530530677075
550,2.4971220671851255,2.0208081764587305,122.99,111.95,134.52499999999998,65.34435306702116,59.24218091543868,72.14226265867374
600,2.1955839797598142,1.5085655809643927,123.18,113.95,133.52499999999998,64.87426563882372,59.03514436951311,70.89927182318654
650,1.8689028657915046,1.3041790233458366,122.25,107.475,135.04999999999998,65.71679702193036,58.424820314695495,73.67926990772033
700,1.59795068695777,1.2003558930610925,121.63,111.475,130.52499999999998,66.5553836838223,60.10188390086031,72.84370022840159
750,1.3870514524449218,0.9847846429836686,120.69,110.0,135.0,66.83127603521056,61.049910430126644,75.11485360130897
800,1.2457445248036614,1.048070919230759,119.25,107.475,128.52499999999998,68.1101836279917,61.49846592631467,75.2121235866046
850,1.3207858642682704,1.0372775446303757,117.11,107.0,127.52499999999999,68.84243860307507,63.2554391488947,75.36777465009888
900,1.630682869787272,1.057184211101401,117.05,106.475,127.52499999999999,69.01139139810874,62.541786747630425,76.66149258239494
950,2.08426797781395,1.2768232040754044,114.74,102.0,127.0,70.10648902853517,64.59565365913411,77.60178737000079
1000,2.4762165971166747,1.4584447492066563,114.91,103.0,125.0,69.89544482414509,64.21201816905587,76.78528416079543
